Id,Name,Gender,Email,EmailName,Domain,CompanyEmail,RegionCode,Phone,EmpPhone,FaxNumber,CitizenIdentification,Role,Department,Location,University,Birthday,StartDay,OfficialDay,ContractStatus,ContractStartDay,ContractEndDay,BaseSalary,base-net,BankName,BankAccountNumber,GrossSalary,NetSalary,net-gos,Manager,ProjectName,LinkCV,WorkingModel,Effort,WorkingTime,DateCreated,DateModified
4,Trương Thị Hương,Male,lmccrisken3@typepad.com,lmccrisken3,@solutiondtk.com,lmccrisken3@solutiondtk.com,84,275-903-9947,+84 275-903-9947,10544-186,75936-117,Admin,Marketing,Hanoi,Universidad Autónoma de Zacatecas,6/2/1997,15/05/2021,15/07/21,Infinity,10/18/2021,,"$22.035.217,28","$13.258.688,66",HSBC,76214-046,"$17.534.881,75","$8.776.528,62","-$8.758.353,13",Lezley McCrisken,SISS,https://1688.com/vulputate/elementum/nullam.png?nec=sapien&molestie=arcu&sed=sed&justo=augue&pellentesque=aliquam&viverra=erat&pede=volutpat&ac=in&diam=congue&cras=etiam&pellentesque=justo&volutpat=etiam&dui=pretium,Full time,100,Offline,5/29/2022,6/28/2022
5,Lưu Vy Yến Nhi,Female,dstockford4@redcross.org,dstockford4,@solutiondtk.com,dstockford4@solutiondtk.com,84,880-580-7774,+84 880-580-7774,42421-815,49288-0849,Project Manager,Technology,Hanoi,University of Connecticut at Avery Point,13/11/96,3/6/2021,3/8/2021,Infinity,9/27/2021,,"$16.831.131,67","$1.504.103,92",HSBC,0603-7663,"$27.842.313,12","$15.327.027,75","-$12.515.285,37",Dinnie Stockford,SISS,http://bloglines.com/pretium/iaculis/justo/in/hac/habitasse/platea.js?curae=pede&nulla=venenatis&dapibus=non&dolor=sodales&vel=sed&est=tincidunt&donec=eu&odio=felis&justo=fusce&sollicitudin=posuere&ut=felis&suscipit=sed&a=lacus&feugiat=morbi&et=sem&eros=mauris&vestibulum=laoreet&ac=ut&est=rhoncus&lacinia=aliquet&nisi=pulvinar&venenatis=sed&tristique=nisl&fusce=nunc&congue=rhoncus&diam=dui&id=vel&ornare=sem&imperdiet=sed&sapien=sagittis&urna=nam&pretium=congue&nisl=risus&ut=semper&volutpat=porta&sapien=volutpat&arcu=quam&sed=pede&augue=lobortis&aliquam=ligula&erat=sit&volutpat=amet&in=eleifend&congue=pede&etiam=libero&justo=quis&etiam=orci&pretium=nullam&iaculis=molestie&justo=nibh&in=in&hac=lectus&habitasse=pellentesque&platea=at&dictumst=nulla&etiam=suspendisse&faucibus=potenti&cursus=cras&urna=in&ut=purus&tellus=eu&nulla=magna&ut=vulputate&erat=luctus&id=cum&mauris=sociis&vulputate=natoque&elementum=penatibus&nullam=et&varius=magnis&nulla=dis&facilisi=parturient&cras=montes&non=nascetur&velit=ridiculus&nec=mus&nisi=vivamus&vulputate=vestibulum&nonummy=sagittis&maecenas=sapien&tincidunt=cum&lacus=sociis&at=natoque,Full time,80,Offline,10/4/2022,8/27/2022
7,Tần Thảo Vy,Male,lneligan6@google.fr,lneligan6,@solutiondtk.com,lneligan6@solutiondtk.com,84,839-146-9388,+84 839-146-9388,10191-1045,58232-0751,HR,Sales,Da Nang,Université Dakar Bourguiba,6/3/1997,11/1/2021,11/3/2021,1 Year,6/7/2021,11/8/2021,"$21.966.295,77","$9.950.672,40",HSBC,36987-1512,"$23.159.842,10","$12.015.623,37","-$11.144.218,73",Lorrie Neligan,EMBI,https://github.io/pellentesque.png?turpis=ante&nec=vel&euismod=ipsum&scelerisque=praesent&quam=blandit&turpis=lacinia&adipiscing=erat&lorem=vestibulum&vitae=sed&mattis=magna&nibh=at&ligula=nunc&nec=commodo&sem=placerat&duis=praesent&aliquam=blandit&convallis=nam&nunc=nulla&proin=integer&at=pede&turpis=justo&a=lacinia&pede=eget&posuere=tincidunt&nonummy=eget&integer=tempus&non=vel&velit=pede&donec=morbi&diam=porttitor&neque=lorem&vestibulum=id&eget=ligula&vulputate=suspendisse&ut=ornare&ultrices=consequat&vel=lectus&augue=in&vestibulum=est&ante=risus&ipsum=auctor&primis=sed&in=tristique&faucibus=in&orci=tempus&luctus=sit&et=amet&ultrices=sem&posuere=fusce&cubilia=consequat&curae=nulla&donec=nisl&pharetra=nunc&magna=nisl&vestibulum=duis&aliquet=bibendum,Part time,100,Hybrid,10/28/2021,6/14/2022
9,Huỳnh Thương Hiền,Female,gdavenell8@hud.gov,gdavenell8,@solutiondtk.com,gdavenell8@solutiondtk.com,84,172-114-1864,+84 172-114-1864,66116-529,55154-6159,Designer,Management,Hanoi,National Dong Hwa University,9/8/1996,2/5/2020,2/7/2020,1 Year,3/11/2020,12/3/2022,"$24.876.811,05","$15.473.807,42",HSBC,54738-903,"$14.707.312,81","$9.403.003,63","-$5.304.309,18",Giovanna Davenell,SISS,https://eventbrite.com/metus/aenean/fermentum/donec/ut/mauris.json?donec=duis&semper=at&sapien=velit&a=eu&libero=est&nam=congue&dui=elementum&proin=in&leo=hac&odio=habitasse&porttitor=platea&id=dictumst&consequat=morbi&in=vestibulum&consequat=velit&ut=id&nulla=pretium&sed=iaculis&accumsan=diam&felis=erat&ut=fermentum&at=justo&dolor=nec&quis=condimentum&odio=neque&consequat=sapien&varius=placerat&integer=ante&ac=nulla&leo=justo&pellentesque=aliquam&ultrices=quis&mattis=turpis&odio=eget&donec=elit&vitae=sodales&nisi=scelerisque&nam=mauris&ultrices=sit&libero=amet&non=eros&mattis=suspendisse&pulvinar=accumsan&nulla=tortor&pede=quis&ullamcorper=turpis&augue=sed&a=ante&suscipit=vivamus&nulla=tortor&elit=duis&ac=mattis&nulla=egestas&sed=metus&vel=aenean&enim=fermentum&sit=donec&amet=ut&nunc=mauris&viverra=eget&dapibus=massa&nulla=tempor&suscipit=convallis&ligula=nulla&in=neque&lacus=libero&curabitur=convallis&at=eget&ipsum=eleifend&ac=luctus&tellus=ultricies&semper=eu&interdum=nibh&mauris=quisque&ullamcorper=id&purus=justo&sit=sit&amet=amet&nulla=sapien&quisque=dignissim&arcu=vestibulum&libero=vestibulum&rutrum=ante&ac=ipsum&lobortis=primis&vel=in&dapibus=faucibus&at=orci&diam=luctus&nam=et&tristique=ultrices&tortor=posuere,Full time,100,Hybrid,5/3/2022,12/26/2021
11,Nguyễn Thị Hạnh,Female,ckenziea@dedecms.com,ckenziea,@solutiondtk.com,ckenziea@solutiondtk.com,84,332-166-6175,+84 332-166-6175,42507-332,51596-009,Digital Marketing,Marketing,Da Nang,University Of Medical Sciences & Technology (UMST),19/01/98,29/08/20,29/10/20,Probation,8/31/2021,11/28/2022,"$16.834.288,42","$5.903.200,25",HSBC,0071-1020,"$24.428.256,73","$10.931.088,17","-$13.497.168,56",Chastity Kenzie,INDEN,http://163.com/morbi/ut.aspx?quis=sed&turpis=nisl&sed=nunc&ante=rhoncus&vivamus=dui&tortor=vel&duis=sem&mattis=sed&egestas=sagittis&metus=nam&aenean=congue&fermentum=risus&donec=semper&ut=porta&mauris=volutpat&eget=quam&massa=pede&tempor=lobortis&convallis=ligula&nulla=sit&neque=amet&libero=eleifend&convallis=pede&eget=libero&eleifend=quis&luctus=orci&ultricies=nullam&eu=molestie&nibh=nibh&quisque=in&id=lectus&justo=pellentesque&sit=at&amet=nulla&sapien=suspendisse&dignissim=potenti&vestibulum=cras&vestibulum=in&ante=purus&ipsum=eu&primis=magna&in=vulputate&faucibus=luctus&orci=cum&luctus=sociis&et=natoque&ultrices=penatibus&posuere=et&cubilia=magnis&curae=dis&nulla=parturient&dapibus=montes&dolor=nascetur&vel=ridiculus&est=mus&donec=vivamus&odio=vestibulum&justo=sagittis&sollicitudin=sapien&ut=cum&suscipit=sociis&a=natoque&feugiat=penatibus&et=et&eros=magnis&vestibulum=dis&ac=parturient&est=montes&lacinia=nascetur&nisi=ridiculus&venenatis=mus&tristique=etiam&fusce=vel&congue=augue&diam=vestibulum&id=rutrum&ornare=rutrum&imperdiet=neque&sapien=aenean&urna=auctor&pretium=gravida&nisl=sem&ut=praesent&volutpat=id&sapien=massa&arcu=id&sed=nisl&augue=venenatis&aliquam=lacinia&erat=aenean,Part time,80,Hybrid,5/1/2022,8/14/2022
12,Trần Ngọc Ngân Quỳnh,Female,jsconceb@privacy.gov.au,jsconceb,@solutiondtk.com,jsconceb@solutiondtk.com,84,303-394-8918,+84 303-394-8918,22431-583,0078-0519,Accountant,Technology,Hanoi,Thiagarajar College of Engineering,19/07/00,6/4/2022,6/6/2022,Infinity,12/19/2021,,"$14.182.050,28","$7.170.384,59",HSBC,10742-8359,"$22.032.604,27","$7.011.665,69","-$15.020.938,58",Jennee Sconce,INDEN,https://ocn.ne.jp/curabitur/gravida.png?pharetra=amet&magna=cursus&ac=id&consequat=turpis&metus=integer&sapien=aliquet&ut=massa&nunc=id&vestibulum=lobortis&ante=convallis&ipsum=tortor&primis=risus&in=dapibus&faucibus=augue&orci=vel&luctus=accumsan&et=tellus&ultrices=nisi&posuere=eu&cubilia=orci&curae=mauris&mauris=lacinia&viverra=sapien&diam=quis&vitae=libero&quam=nullam&suspendisse=sit&potenti=amet&nullam=turpis&porttitor=elementum&lacus=ligula&at=vehicula&turpis=consequat&donec=morbi&posuere=a&metus=ipsum&vitae=integer&ipsum=a&aliquam=nibh&non=in&mauris=quis&morbi=justo&non=maecenas&lectus=rhoncus&aliquam=aliquam&sit=lacus&amet=morbi&diam=quis&in=tortor&magna=id,Part time,80,Online,12/22/2021,7/14/2022
15,Lê Nguyễn Ngọc Ngân,Male,hpatingtone@google.co.uk,hpatingtone,@solutiondtk.com,hpatingtone@solutiondtk.com,84,515-612-4953,+84 515-612-4953,55289-505,0574-0150,Digital Marketing,Sales,Ho Chi Minh,University of Rajshahi,18/09/99,27/07/20,27/09/20,Probation,6/4/2020,10/29/2021,"$24.570.742,67","$8.838.932,37",HSBC,36987-2613,"$23.786.141,90","$15.731.810,30","-$8.054.331,60",Holt Patington,SISS,http://squarespace.com/vivamus/metus/arcu/adipiscing/molestie.json?ut=vestibulum&odio=ante&cras=ipsum&mi=primis&pede=in&malesuada=faucibus&in=orci&imperdiet=luctus&et=et&commodo=ultrices&vulputate=posuere&justo=cubilia&in=curae&blandit=duis&ultrices=faucibus&enim=accumsan&lorem=odio&ipsum=curabitur&dolor=convallis&sit=duis&amet=consequat&consectetuer=dui&adipiscing=nec&elit=nisi&proin=volutpat&interdum=eleifend&mauris=donec&non=ut&ligula=dolor&pellentesque=morbi&ultrices=vel&phasellus=lectus&id=in&sapien=quam&in=fringilla&sapien=rhoncus&iaculis=mauris&congue=enim&vivamus=leo&metus=rhoncus&arcu=sed&adipiscing=vestibulum&molestie=sit&hendrerit=amet&at=cursus&vulputate=id&vitae=turpis&nisl=integer&aenean=aliquet&lectus=massa&pellentesque=id&eget=lobortis&nunc=convallis&donec=tortor&quis=risus&orci=dapibus&eget=augue&orci=vel&vehicula=accumsan&condimentum=tellus&curabitur=nisi&in=eu&libero=orci&ut=mauris&massa=lacinia&volutpat=sapien&convallis=quis&morbi=libero&odio=nullam&odio=sit&elementum=amet&eu=turpis&interdum=elementum&eu=ligula&tincidunt=vehicula&in=consequat&leo=morbi,Part time,100,Online,11/28/2021,11/8/2021
16,Vũ Thị Phương Dung,Male,wjohnseyf@jimdo.com,wjohnseyf,@solutiondtk.com,wjohnseyf@solutiondtk.com,84,303-385-9912,+84 303-385-9912,13668-156,37000-110,Content Marketing,Sales,Hanoi,Universidad Técnica de Ambato,18/09/99,9/7/2022,9/9/2022,Infinity,3/10/2021,,"$15.134.705,04","$3.443.965,92",HSBC,50563-300,"$25.885.993,96","$11.690.739,12","-$14.195.254,84",Warde Johnsey,SISS,http://liveinternet.ru/dapibus/nulla/suscipit/ligula/in/lacus/curabitur.jpg?in=pede&hac=posuere&habitasse=nonummy&platea=integer&dictumst=non&etiam=velit&faucibus=donec&cursus=diam&urna=neque,Part time,100,Offline,8/22/2022,7/15/2022
17,Hà Tiểu Phương,Female,lknowlsong@epa.gov,lknowlsong,@solutiondtk.com,lknowlsong@solutiondtk.com,84,941-481-8246,+84 941-481-8246,46414-7777,0143-9729,Content Marketing,Management,Ho Chi Minh,Sultan Mizan Zainal Abidin Polytechnic,5/8/1996,28/10/20,28/12/20,Infinity,6/23/2020,,"$24.072.196,17","$3.384.618,52",HSBC,55714-2001,"$27.804.617,17","$20.687.577,65","-$7.117.039,52",Lian Knowlson,SISS,http://google.es/dictumst.json?tortor=eget&risus=vulputate&dapibus=ut&augue=ultrices&vel=vel&accumsan=augue&tellus=vestibulum&nisi=ante&eu=ipsum&orci=primis&mauris=in&lacinia=faucibus&sapien=orci&quis=luctus&libero=et&nullam=ultrices&sit=posuere&amet=cubilia&turpis=curae,Part time,100,Offline,1/23/2022,7/15/2022
18,Nguyễn Võ Phương Uyên,Polygender,csanchish@360.cn,csanchish,@solutiondtk.com,csanchish@solutiondtk.com,84,997-244-6079,+84 997-244-6079,58518-010,53208-475,Accountant,Sales,Ho Chi Minh,Bluefield College,12/8/1999,29/03/21,29/05/21,1 Year,10/3/2021,10/24/2022,"$19.577.828,95","$3.224.690,10",HSBC,50436-0193,"$16.879.787,03","$16.353.138,85","-$526.648,18",Correy Sanchis,INDEN,https://printfriendly.com/at/dolor/quis.json?eu=parturient&nibh=montes&quisque=nascetur&id=ridiculus&justo=mus&sit=etiam&amet=vel&sapien=augue&dignissim=vestibulum&vestibulum=rutrum&vestibulum=rutrum&ante=neque&ipsum=aenean&primis=auctor&in=gravida&faucibus=sem&orci=praesent&luctus=id&et=massa&ultrices=id&posuere=nisl&cubilia=venenatis&curae=lacinia&nulla=aenean&dapibus=sit&dolor=amet&vel=justo&est=morbi&donec=ut&odio=odio&justo=cras&sollicitudin=mi&ut=pede&suscipit=malesuada&a=in&feugiat=imperdiet&et=et&eros=commodo&vestibulum=vulputate&ac=justo&est=in&lacinia=blandit&nisi=ultrices&venenatis=enim&tristique=lorem&fusce=ipsum&congue=dolor&diam=sit&id=amet&ornare=consectetuer&imperdiet=adipiscing&sapien=elit&urna=proin&pretium=interdum&nisl=mauris&ut=non&volutpat=ligula&sapien=pellentesque&arcu=ultrices&sed=phasellus&augue=id&aliquam=sapien&erat=in&volutpat=sapien&in=iaculis&congue=congue&etiam=vivamus&justo=metus&etiam=arcu&pretium=adipiscing&iaculis=molestie&justo=hendrerit&in=at&hac=vulputate&habitasse=vitae&platea=nisl&dictumst=aenean&etiam=lectus,Part time,100,Online,11/10/2021,7/12/2022
